Dấu thời gian,Số lượng người ở trong phòng trọ , Diện tích phòng trọ của bạn là bao nhiêu mét vuông?,Phòng trọ của bạn có bao nhiêu lầu?, Loại phòng trọ của bạn là gì?,Phòng trọ của bạn có tủ lạnh không, Phòng trọ của bạn có bao nhiêu cái quạt?,Phòng trọ của bạn có bao nhiêu cái máy lạnh?,Trung bình mỗi ngày bật máy lạnh bao nhiêu giờ? ,Trung bình tiền điện 1 tháng của bạn là bao nhiêu? ,Giá điện chủ trọ thu hiện tại của bạn là bao nhiêu tiền/kWh (1 ký điện)?
08/05/2026 23:33:51,3,28,1,Chung cư mini,Có,1,0,0,420000,3500
09/05/2026 00:07:23,5,102,5,Chung cư,Có,4,1,13,1515000,2500
09/05/2026 00:07:24,2,54,5,Chung cư,Có,2,3,6,2190000,3000
09/05/2026 00:16:48,4,70,6,Chung cư,Có,4,1,4,758000,2500
09/05/2026 00:29:15,5,99,11,Nhà nguyên căn,Có,2,2,4,1170000,3000
09/05/2026 04:07:59,2,111,11,Chung cư,Có,2,1,4,660000,2500
09/05/2026 04:33:05,2,108,5,Nhà nguyên căn,Có,2,2,7,2118000,3500
09/05/2026 04:43:44,5,90,12,Chung cư,Có,4,1,13,2132000,3500
09/05/2026 04:48:36,5,113,5,Nhà nguyên căn,Có,4,1,10,1488000,3000
09/05/2026 04:55:40,2,81,14,Chung cư,Có,4,2,4,1080000,2500
09/05/2026 05:17:53,3,81,1,Chung cư,Có,2,2,7,1515000,2500
09/05/2026 05:21:32,4,108,18,Chung cư,Có,4,2,11,2703000,3000
09/05/2026 05:23:49,2,18,2,Phòng trọ bình thường,Có,2,0,0,566000,3800
09/05/2026 07:29:43,2,80,4,Chung cư,Có,4,3,5,2348000,3500
09/05/2026 07:44:18,3,26,4,Ký túc xá,Có,1,0,0,434000,3500
09/05/2026 08:06:02,5,62,3,Chung cư,Có,4,2,13,2550000,2500
09/05/2026 09:08:50,2,77,5,Chung cư,Có,3,1,12,1647000,3000
09/05/2026 09:13:57,3,17,4,Phòng trọ bình thường,Có,1,0,0,403000,3800
09/05/2026 09:34:10,4,85,15,Nhà nguyên căn,Có,2,2,9,1812000,2500
09/05/2026 09:44:29,3,27,4,Ký túc xá,Có,2,1,11,1960000,4000
09/05/2026 11:26:18,2,67,10,Chung cư,Có,4,2,12,3332000,3500
09/05/2026 11:56:33,5,53,8,Chung cư,Có,4,1,13,1500000,2500
09/05/2026 12:04:44,2,91,1,Nhà nguyên căn,Có,3,1,11,1298000,2500
09/05/2026 12:55:20,2,25,4,Phòng trọ bình thường,Có,2,1,10,1617000,3500
09/05/2026 13:10:05,1,29,2,Phòng trọ bình thường,Không,2,1,13,1872000,3500
09/05/2026 13:53:44,1,22,3,Phòng trọ bình thường,Có,2,1,6,1380000,4000
09/05/2026 14:22:23,2,19,0,Chung cư mini,Có,2,1,12,2048000,3800
09/05/2026 14:28:49,3,92,6,Nhà nguyên căn,Có,4,1,9,1659000,3500
09/05/2026 15:18:11,2,88,14,Chung cư,Có,2,1,7,1086000,3000
09/05/2026 15:30:35,3,26,0,Phòng trọ bình thường,Có,1,1,6,1260000,4000
09/05/2026 15:41:04,2,29,1,Phòng trọ bình thường,Có,1,0,0,371000,3500
09/05/2026 15:48:52,3,111,8,Chung cư,Có,4,3,8,2889000,3000
09/05/2026 16:17:54,2,78,8,Chung cư,Có,4,3,13,3620000,2500
09/05/2026 17:55:53,3,79,6,Chung cư,Có,3,1,9,1586000,3500
09/05/2026 18:02:22,5,83,11,Chung cư,Có,2,2,11,2115000,2500
09/05/2026 18:03:42,4,76,0,Chung cư,Có,3,1,8,1048000,2500
09/05/2026 18:17:55,3,17,0,Ký túc xá,Có,2,0,0,438000,3500
09/05/2026 18:54:02,2,77,4,Chung cư,Có,4,1,5,882000,2500
09/05/2026 18:57:08,4,70,14,Chung cư,Có,3,3,10,4014000,3500
09/05/2026 19:02:51,1,28,0,Phòng trọ bình thường,Có,2,0,0,522000,3500
09/05/2026 19:12:50,3,24,1,Chung cư mini,Có,2,1,6,1166000,3500
09/05/2026 19:34:30,2,18,1,Phòng trọ bình thường,Có,1,1,5,1140000,4000
09/05/2026 20:21:51,3,21,4,Phòng trọ bình thường,Có,1,0,0,500000,4000
09/05/2026 20:27:57,3,22,3,Chung cư mini,Có,1,1,10,1718000,3800
09/05/2026 21:05:15,4,115,7,Chung cư,Có,3,3,7,2574000,3000
09/05/2026 21:34:34,3,18,1,Ký túc xá,Có,1,1,8,1417000,3800
09/05/2026 21:48:04,5,84,19,Chung cư,Có,2,2,13,2937000,3000
09/05/2026 22:23:10,3,23,1,Phòng trọ bình thường,Có,1,1,6,1088000,3500
09/05/2026 22:27:20,3,23,3,Phòng trọ bình thường,Có,2,1,8,1580000,4000
09/05/2026 22:29:51,5,95,11,Nhà nguyên căn,Có,2,2,10,2010000,2500
09/05/2026 22:49:11,3,28,0,Phòng trọ bình thường,Có,1,0,0,388000,3500
09/05/2026 22:52:21,4,67,6,Chung cư,Có,2,1,4,688000,2500
09/05/2026 23:09:56,1,25,3,Ký túc xá,Có,2,1,10,1880000,4000
09/05/2026 23:17:01,4,45,18,Nhà nguyên căn,Có,3,3,6,2202000,3000
09/05/2026 23:41:10,2,15,2,Phòng trọ bình thường,Có,1,1,13,2184000,4000
10/05/2026 01:58:36,1,19,2,Phòng trọ bình thường,Có,2,0,0,466000,3500
10/05/2026 02:26:46,2,57,11,Chung cư,Có,3,3,7,2556000,3000
10/05/2026 02:33:44,2,105,3,Chung cư,Có,2,1,11,1750000,3500
10/05/2026 03:42:37,3,22,3,Phòng trọ bình thường,Có,1,1,13,2052000,3800
10/05/2026 04:32:45,2,28,3,Phòng trọ bình thường,Có,2,0,0,513000,3800
10/05/2026 05:05:36,3,95,18,Chung cư,Có,4,3,5,2362000,3500
10/05/2026 05:46:29,3,107,15,Chung cư,Có,4,2,6,1400000,2500
10/05/2026 06:24:11,2,18,2,Chung cư mini,Có,1,1,8,1429000,3800
10/05/2026 07:36:40,3,87,3,Chung cư,Có,2,3,12,3942000,3000
10/05/2026 08:36:32,3,15,3,Phòng trọ bình thường,Có,2,1,5,1094000,3800
10/05/2026 09:48:17,5,66,16,Chung cư,Có,3,2,4,1442000,3500
10/05/2026 09:55:11,5,115,8,Nhà nguyên căn,Có,4,2,8,1720000,2500
10/05/2026 10:58:06,2,115,13,Chung cư,Có,2,2,4,1404000,3500
10/05/2026 11:49:17,3,25,3,Phòng trọ bình thường,Có,2,1,12,1855000,3500
10/05/2026 12:11:45,4,117,9,Nhà nguyên căn,Có,4,2,6,2002000,3500
10/05/2026 12:29:41,3,114,14,Chung cư,Có,3,2,4,1260000,3000
10/05/2026 12:57:17,2,99,15,Nhà nguyên căn,Có,2,3,7,2472000,3000
10/05/2026 13:08:44,3,79,13,Chung cư,Có,3,3,9,3171000,3000
10/05/2026 14:51:39,5,115,12,Chung cư,Có,4,1,10,1743000,3500
10/05/2026 15:16:10,3,81,5,Nhà nguyên căn,Có,3,3,6,2268000,3000
10/05/2026 16:13:36,2,25,3,Phòng trọ bình thường,Có,2,1,6,1312000,4000
10/05/2026 17:29:16,4,67,15,Chung cư,Có,3,2,11,3059000,3500
10/05/2026 17:45:52,1,21,4,Phòng trọ bình thường,Có,2,1,5,1170000,3800
10/05/2026 17:54:11,4,106,16,Chung cư,Có,3,1,12,1412000,2500
10/05/2026 18:01:00,3,99,18,Chung cư,Có,3,2,7,1515000,2500
10/05/2026 19:19:38,4,51,10,Chung cư,Có,3,3,13,5075000,3500
10/05/2026 19:21:39,4,95,3,Chung cư,Có,4,2,8,1738000,2500
10/05/2026 19:27:03,5,116,10,Chung cư,Có,4,1,6,1122000,3000
10/05/2026 19:56:53,4,45,4,Chung cư,Có,4,2,8,2094000,3000
10/05/2026 20:01:36,1,26,4,Chung cư mini,Có,1,1,9,1449000,3500
10/05/2026 22:31:21,2,71,14,Nhà nguyên căn,Có,2,2,13,2490000,2500
10/05/2026 23:13:39,4,51,7,Chung cư,Có,3,2,4,1048000,2500
10/05/2026 23:28:51,3,16,3,Phòng trọ bình thường,Có,2,1,4,1048000,4000
11/05/2026 00:18:13,1,21,4,Phòng trọ bình thường,Có,2,1,11,1754000,3500
11/05/2026 01:20:20,1,21,4,Chung cư mini,Có,2,1,13,2220000,4000
11/05/2026 01:28:21,3,25,2,Ký túc xá,Có,2,0,0,580000,4000
11/05/2026 02:25:05,2,18,0,Ký túc xá,Có,2,0,0,458000,3500
11/05/2026 04:12:32,3,17,0,Ký túc xá,Có,2,1,13,1981000,3500
11/05/2026 04:49:04,2,18,2,Phòng trọ bình thường,Có,1,0,0,437000,3800
11/05/2026 05:11:51,1,15,1,Phòng trọ bình thường,Có,2,0,0,516000,4000
11/05/2026 05:44:30,4,54,14,Nhà nguyên căn,Có,2,1,6,848000,2500
11/05/2026 06:00:23,2,24,0,Phòng trọ bình thường,Có,2,1,4,1088000,4000
11/05/2026 06:30:08,2,21,0,Phòng trọ bình thường,Có,2,1,7,1236000,3500
11/05/2026 08:07:23,1,16,0,Phòng trọ bình thường,Có,2,0,0,420000,3500
11/05/2026 09:22:42,3,21,4,Ký túc xá,Không,1,1,8,1180000,3500
11/05/2026 09:37:21,5,114,6,Chung cư,Có,3,1,6,1098000,3000
11/05/2026 11:40:06,5,79,13,Chung cư,Có,4,1,12,1988000,3500
11/05/2026 11:41:26,5,106,11,Chung cư,Có,2,3,9,3060000,3000
11/05/2026 11:43:54,2,23,2,Chung cư mini,Có,2,0,0,580000,4000
11/05/2026 12:33:06,2,27,4,Phòng trọ bình thường,Có,2,0,0,494000,3500
11/05/2026 13:32:20,5,41,13,Nhà nguyên căn,Có,4,1,5,1239000,3500
11/05/2026 13:34:06,5,93,0,Chung cư,Có,4,1,6,1143000,3000
11/05/2026 16:49:27,2,84,1,Chung cư,Có,3,1,11,1275000,2500
11/05/2026 16:51:31,2,21,3,Phòng trọ bình thường,Không,1,1,12,1782000,3800
11/05/2026 17:31:21,2,100,17,Chung cư,Có,3,2,13,3584000,3500
11/05/2026 18:05:48,2,118,19,Chung cư,Có,3,2,12,2868000,3000
11/05/2026 20:00:20,2,24,4,Phòng trọ bình thường,Có,1,1,11,1952000,4000
11/05/2026 20:12:37,4,108,10,Chung cư,Có,4,1,10,1545000,3000
11/05/2026 20:45:37,2,50,17,Chung cư,Có,4,3,8,3434000,3500
11/05/2026 21:56:47,5,48,3,Chung cư,Có,4,3,11,4375000,3500
11/05/2026 22:10:36,5,112,12,Chung cư,Có,2,1,9,1112000,2500
12/05/2026 00:38:09,4,42,0,Chung cư,Có,2,1,8,1022000,2500
12/05/2026 00:44:03,3,23,0,Phòng trọ bình thường,Có,2,1,4,959000,3500
12/05/2026 00:46:24,4,77,3,Nhà nguyên căn,Có,2,3,9,3114000,3000
12/05/2026 02:14:36,3,28,3,Phòng trọ bình thường,Có,1,1,12,2028000,4000
12/05/2026 03:24:50,4,108,4,Nhà nguyên căn,Có,4,3,10,2892000,2500
12/05/2026 03:26:44,1,27,4,Ký túc xá,Có,2,0,0,540000,4000
12/05/2026 05:06:07,1,15,4,Ký túc xá,Có,1,0,0,378000,3500
12/05/2026 06:34:45,2,88,10,Chung cư,Có,2,1,12,1876000,3500
12/05/2026 06:53:23,1,20,2,Phòng trọ bình thường,Có,1,1,5,976000,3500
12/05/2026 07:08:44,5,117,3,Chung cư,Có,4,3,11,3188000,2500
12/05/2026 07:54:00,3,87,11,Nhà nguyên căn,Có,4,2,9,2301000,3000
12/05/2026 09:31:48,2,84,11,Nhà nguyên căn,Có,3,1,5,1068000,3500
12/05/2026 09:33:26,5,65,0,Chung cư,Có,2,1,6,1162000,3500
12/05/2026 10:01:33,4,73,0,Nhà nguyên căn,Có,2,2,11,2595000,3000
12/05/2026 10:49:59,3,63,10,Nhà nguyên căn,Có,3,1,13,1435000,2500
12/05/2026 11:02:30,1,22,2,Ký túc xá,Có,2,0,0,555000,3800
12/05/2026 11:09:47,2,15,3,Phòng trọ bình thường,Không,1,0,0,276000,3500
12/05/2026 12:51:04,4,49,13,Nhà nguyên căn,Có,3,1,13,1490000,2500
12/05/2026 12:57:07,3,17,0,Phòng trọ bình thường,Có,1,1,7,1281000,3800
12/05/2026 13:12:26,2,48,16,Chung cư,Có,3,3,9,3147000,3000
12/05/2026 13:19:29,5,100,15,Chung cư,Có,3,2,5,1449000,3000
12/05/2026 13:25:50,2,53,0,Nhà nguyên căn,Có,4,3,4,2020000,3500
12/05/2026 14:03:17,3,17,2,Ký túc xá,Có,2,0,0,475000,3800
12/05/2026 14:22:28,1,17,0,Phòng trọ bình thường,Có,1,1,10,1680000,3800
12/05/2026 14:27:33,3,18,0,Chung cư mini,Có,2,0,0,576000,4000
12/05/2026 15:19:24,5,59,3,Chung cư,Có,3,3,10,4032000,3500
12/05/2026 15:51:56,4,88,9,Chung cư,Có,3,3,10,3441000,3000
12/05/2026 15:54:26,2,21,0,Phòng trọ bình thường,Có,1,1,5,1045000,3800
12/05/2026 16:05:01,3,15,3,Phòng trọ bình thường,Có,2,1,4,961000,3800
12/05/2026 16:09:27,2,102,7,Chung cư,Có,2,1,5,888000,3000
12/05/2026 16:14:03,3,29,3,Phòng trọ bình thường,Không,2,0,0,354000,3500
12/05/2026 18:14:59,2,19,2,Phòng trọ bình thường,Có,1,1,7,1380000,4000
12/05/2026 18:40:49,5,65,9,Nhà nguyên căn,Có,4,3,7,2592000,3000
12/05/2026 19:34:13,3,16,4,Phòng trọ bình thường,Có,2,1,8,1486000,3800
12/05/2026 20:34:17,5,59,18,Nhà nguyên căn,Có,3,1,9,1160000,2500
12/05/2026 20:47:24,4,58,7,Chung cư,Có,2,1,8,1209000,3000
12/05/2026 21:43:49,3,43,5,Chung cư,Có,4,3,8,3388000,3500
12/05/2026 22:30:29,2,28,4,Phòng trọ bình thường,Có,1,0,0,452000,3500
12/05/2026 22:36:30,4,85,1,Nhà nguyên căn,Có,2,2,4,1239000,3000
12/05/2026 22:55:30,2,27,2,Phòng trọ bình thường,Có,2,0,0,441000,3500
12/05/2026 23:03:11,3,63,14,Nhà nguyên căn,Có,4,1,11,1596000,3000
12/05/2026 23:48:08,3,24,1,Phòng trọ bình thường,Có,2,1,5,1004000,3500
